epoch 0 finished: loss=2.524641,  acc=0.365385
epoch 1 finished: loss=1.867208,  acc=0.614583
epoch 2 finished: loss=1.251062,  acc=0.701923
epoch 3 finished: loss=0.785485,  acc=0.804888
epoch 4 finished: loss=0.451742,  acc=0.937901
epoch 5 finished: loss=0.278076,  acc=0.958333
epoch 6 finished: loss=0.314116,  acc=0.945112
epoch 7 finished: loss=0.116617,  acc=0.992788
epoch 8 finished: loss=0.077358,  acc=0.996394
epoch 9 finished: loss=0.067548,  acc=0.996394
epoch 10 finished: loss=0.041053,  acc=1.000000
epoch 11 finished: loss=0.035955,  acc=0.997596
epoch 12 finished: loss=0.028388,  acc=1.000000
epoch 13 finished: loss=0.025867,  acc=1.000000
epoch 14 finished: loss=0.028121,  acc=1.000000
epoch 15 finished: loss=0.026981,  acc=0.997596
epoch 16 finished: loss=0.018672,  acc=1.000000
epoch 17 finished: loss=0.013875,  acc=1.000000
epoch 18 finished: loss=0.013109,  acc=1.000000
epoch 19 finished: loss=0.014164,  acc=1.000000
