epoch 0 finished: loss=2.407953,  acc=0.385817
epoch 1 finished: loss=2.045862,  acc=0.665865
epoch 2 finished: loss=1.800144,  acc=0.678686
epoch 3 finished: loss=1.560276,  acc=0.762420
epoch 4 finished: loss=1.304994,  acc=0.820112
epoch 5 finished: loss=1.085143,  acc=0.839744
epoch 6 finished: loss=0.882904,  acc=0.858574
epoch 7 finished: loss=0.719492,  acc=0.884215
epoch 8 finished: loss=0.562605,  acc=0.913061
epoch 9 finished: loss=0.448198,  acc=0.944712
epoch 10 finished: loss=0.345870,  acc=0.968750
epoch 11 finished: loss=0.297720,  acc=0.975962
epoch 12 finished: loss=0.501378,  acc=0.927885
epoch 13 finished: loss=0.252536,  acc=0.978766
epoch 14 finished: loss=0.167212,  acc=0.993189
epoch 15 finished: loss=0.138840,  acc=0.998798
epoch 16 finished: loss=0.113681,  acc=0.998798
epoch 17 finished: loss=0.113337,  acc=0.998798
epoch 18 finished: loss=0.075250,  acc=0.997596
epoch 19 finished: loss=0.061437,  acc=1.000000
