epoch 0 finished: loss=2.708138,  acc=0.104567
epoch 1 finished: loss=2.474499,  acc=0.294071
epoch 2 finished: loss=2.143293,  acc=0.413862
epoch 3 finished: loss=1.783693,  acc=0.484375
epoch 4 finished: loss=1.531430,  acc=0.564904
epoch 5 finished: loss=1.217816,  acc=0.675481
epoch 6 finished: loss=1.049801,  acc=0.736779
epoch 7 finished: loss=0.860025,  acc=0.822516
epoch 8 finished: loss=0.723693,  acc=0.840946
epoch 9 finished: loss=0.643393,  acc=0.901843
epoch 10 finished: loss=0.464047,  acc=0.949119
epoch 11 finished: loss=0.428679,  acc=0.935497
epoch 12 finished: loss=0.267848,  acc=0.978365
epoch 13 finished: loss=0.216460,  acc=0.986779
epoch 14 finished: loss=0.190135,  acc=0.993189
epoch 15 finished: loss=0.168043,  acc=0.983574
epoch 16 finished: loss=0.146800,  acc=0.992788
epoch 17 finished: loss=0.107039,  acc=0.995593
epoch 18 finished: loss=0.119378,  acc=0.990385
epoch 19 finished: loss=0.082366,  acc=0.998798
