epoch 0 finished: loss=2.617505,  acc=0.263221
epoch 1 finished: loss=2.173319,  acc=0.446314
epoch 2 finished: loss=1.764601,  acc=0.609375
epoch 3 finished: loss=1.457102,  acc=0.725962
epoch 4 finished: loss=1.151687,  acc=0.791667
epoch 5 finished: loss=0.953104,  acc=0.818510
epoch 6 finished: loss=0.831312,  acc=0.840946
epoch 7 finished: loss=0.728685,  acc=0.861378
epoch 8 finished: loss=0.668667,  acc=0.870593
epoch 9 finished: loss=0.594346,  acc=0.885417
epoch 10 finished: loss=0.499253,  acc=0.901843
epoch 11 finished: loss=0.424486,  acc=0.916667
epoch 12 finished: loss=0.339409,  acc=0.938702
epoch 13 finished: loss=0.302535,  acc=0.936699
epoch 14 finished: loss=0.276583,  acc=0.945913
epoch 15 finished: loss=0.257010,  acc=0.942708
epoch 16 finished: loss=0.217532,  acc=0.961138
epoch 17 finished: loss=0.179266,  acc=0.975962
epoch 18 finished: loss=0.129629,  acc=0.992788
epoch 19 finished: loss=0.104931,  acc=1.000000
